product_id,product_name,category,unit_price
135,Outdoor Portable Fire Pit,Outdoor,149.99
136,Frozen Edamame,Food - Frozen Foods,3.29
137,Frozen Fruit Medley,Food - Frozen Foods,5.99
138,Coconut Oil,Food - Oils & Vinegars,6.49
139,Peach Green Tea,Food - Beverages,3.49
140,Black Bean Spaghetti,Food - Pasta,3.99
141,Banana Nut Muffins,Food - Bakery,4.49
142,Honey mustard chicken tenders,Food - Meat,7.99
143,LED Strip Lights,Home,19.99
144,Vegetable Pizza Rolls,Food - Frozen Foods,6.49
145,Pasta Primavera Kit,Food - Meal Kits,7.49
146,Brown Rice,Food - Grains,1.79
147,Frozen Salmon Filets,Food - Seafood,12.99
148,Bamboo Cotton Tank Top,Clothing - Tops,22.99
149,Handheld Shower Head,Bathroom,34.99
150,Hair Dryer,Beauty,39.99
